#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20017018.713;20017096.578;45.0775;7.66961;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017019.713;20017097.578;45.0775020888063;7.66961977941119;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017020.213;20017098.078;45.0775041776125;7.66962955882239;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017020.713;20017098.578;45.0775062664188;7.66963933823358;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017021.213;20017099.078;45.0775083552251;7.66964911764477;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017021.713;20017099.578;45.0775104440314;7.66965889705597;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017022.213;20017100.078;45.0775125328376;7.66966867646716;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017022.713;20017100.578;45.0775146216439;7.66967845587836;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017023.213;20017101.078;45.0775167104502;7.66968823528955;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017023.713;20017101.578;45.0775187992565;7.66969801470074;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017024.213;20017102.078;45.0775208880627;7.66970779411194;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017024.713;20017102.578;45.077522976869;7.66971757352313;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017025.213;20017103.078;45.0775250656753;7.66972735293432;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017025.713;20017103.578;45.0775271544816;7.66973713234552;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017026.213;20017104.078;45.0775292432878;7.66974691175671;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017026.713;20017104.578;45.0775313320941;7.66975669116791;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017027.213;20017105.078;45.0775334209004;7.6697664705791;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017027.713;20017105.578;45.0775355097067;7.66977624999029;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017028.213;20017106.078;45.0775375985129;7.66978602940149;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017028.713;20017106.578;45.0775396873192;7.66979580881268;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017029.213;20017107.078;45.0775417761255;7.66980558822387;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017029.713;20017107.578;45.0775438649318;7.66981536763507;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017030.213;20017108.078;45.077545953738;7.66982514704626;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017030.713;20017108.578;45.0775480425443;7.66983492645745;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017031.213;20017109.078;45.0775501313506;7.66984470586865;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017031.713;20017109.578;45.0775522201569;7.66985448527984;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017032.213;20017110.078;45.0775543089631;7.66986426469104;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017032.713;20017110.578;45.0775563977694;7.66987404410223;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017033.213;20017111.078;45.0775584865757;7.66988382351342;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017033.713;20017111.578;45.077560575382;7.66989360292462;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017034.213;20017112.078;45.0775626641882;7.66990338233581;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017034.713;20017112.578;45.0775647529945;7.669913161747;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017035.213;20017113.078;45.0775668418008;7.6699229411582;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017035.713;20017113.578;45.0775689306071;7.66993272056939;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
